MistoPoskytovaniId,ZdravotnickeZarizeniId,Kod,NazevZarizeni,DruhZarizeni,Obec,Psc,Ulice,CisloDomovniOrientacni,Kraj,KrajCode,Okres,OkresCode,SpravniObvod,PoskytovatelTelefon,PoskytovatelFax,PoskytovatelEmail,PoskytovatelWeb,Ico,TypOsoby,PravniFormaKod,KrajCodeSidlo,OkresCodeSidlo,ObecSidlo,PscSidlo,UliceSidlo,CisloDomovniOrientacniSidlo,OborPece,FormaPece,DruhPece,OdbornyZastupce,Lat,Lng
244806,175595,6.6001E+13,MUDr. Miroslav Krejča Ph.D.,Samostatná ordinace lékaře specialisty,Praha 5,15000,Na bělidle,910/20,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,,,66000963,1,,CZ010,CZ0100,Praha 1,11000,Washingtonova,1599/17,plastická chirurgie,ambulantní péče,,,50.07193725,14.40779822
227751,175593,9.25939E+12,"Bulovka Dental Clinic, a.s.","Poskytovatel amb. služeb (do 5 oborů), Samostatná ordinace PL - stomatologa, Samostatné zařízení fyzioterapeuta",Praha 8,18000,Chlumčanského,497/5,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,ivan.oliva@bulovkadc.com,,9259392,2,121,CZ010,CZ0100,Praha 4,14000,Pacovská,2104/1,"Fyzioterapeut, ortodoncie, zubní lékařství","ambulantní péče, primární ambulantní péče, specializovaná ambulantní péče",,"Jaroslav Doubek, Milan Tomka",50.11464463,14.46760754
244798,175589,2.93077E+12,Mgr. Martin Bayer,Samostatné zařízení psychologa,Praha 3,13000,Hartigova,2427/205,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20793E+11,,info@psychologiepraha8.cz,www.psychologiepraha8.cz,2930773,1,,CZ010,CZ0100,Praha 8,18000,Nad košinkou,983/7,Klinický psycholog,ambulantní péče,,,50.09285698,14.48618477
244796,175588,5.61093E+12,Medical Esthetic s.r.o.,Samostatná ordinace lékaře specialisty,Praha 1,11000,Senovážné náměstí,1463/5,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,,,5610931,2,,CZ010,CZ0100,Praha 2,12800,Ladova,2045/1,dermatovenerologie,ambulantní péče,,Ivo Partl,50.08600751,14.43086064
244791,175586,8.87344E+13,Bc. Zuzana Barošová DiS.,Domácí zdravotní péče,Praha 3,13000,Baranova,642/30,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,mutkovicova.zuzana@seznam.cz,,88734447,1,,CZ064,CZ0642,,,,,"Všeobecná sestra, Všeobecná sestra",zdrav. péče poskytovaná ve vlastním soc. prostředí pacienta - domácí péče - ošetřovatelská,,,50.08106222,14.45719706
244777,175571,2.4143E+13,"Medevac, s.r.o.",Samostatná ordinace lékaře specialisty,Praha 6,16000,České družiny,1948/17,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20314E+11,,dispecink@medevac.cz,www.medevac.cz,24143022,2,112,CZ020,CZ020A,Rudná,25219,Masarykova,1363,anesteziologie a intenzivní medicína,ambulantní péče,,"David Doubek, Milena Dokoupilová",50.09813152,14.37925977
244757,175564,1.95917E+13,"Záchranná služba DavepoMadevac, z.s.",Přeprava pacientů neodkladné péče,Praha 3,13000,Jeseniova,780/101,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,vesely@davepo.cz,,19591713,2,706,CZ020,CZ020A,Rudná,25219,Masarykova,1363,Všeobecná sestra,,přeprava pacientů neodkladné péče,David Doubek,50.08875211,14.47027973
209932,175561,1.91803E+12,"EUC Klinika Praha a.s., Poliklinika Malešice","Poskytovatel amb. služeb (nad 5 oborů), Lékárna",Praha 10,10800,Plaňanská,573/1,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,Praha 10,,,vojtech.rechtacek@eucklinika.cz,http://www.eucklinika.cz,1918028,2,121,CZ010,CZ0100,Praha 10,10800,Plaňanská,573/1,"Fyzioterapeut, praktické lékárenství, vnitřní lékařství, radiologie a zobrazovací metody, pneumologie a ftizeologie, gynekologie a porodnictví",ambulantní péče,lékárenská péče,"Gabriela Příhodová, Hana Husáková, Lenka Džmurová, Lívia Pavlenková, Oto Drobík, Peter Mokroš, Petra Fausková, Zdeněk Cihlář",50.08021644,14.50124258
244753,175552,6.90727E+13,Pavla Laudinová DiS.,Samostatné zařízení fyzioterapeuta,Praha 9,19000,Lovosická,440/40,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,pavla.laudinova@seznam.cz,,69072728,1,,CZ010,CZ0100,Praha 9,19000,Lovosická,440/40,Fyzioterapeut,ambulantní péče,,,50.12886802,14.49018979
244748,175551,1.94896E+13,"Efremova, Koblic, Smetanová s.r.o.",Poskytovatel amb. služeb (do 5 oborů),Praha 5,15600,Žitavského,497,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,andrea.efremova@gmail.com,,19489552,2,112,CZ010,CZ0100,Praha 2,12800,Vyšehradská,422/25,"lékařská psychoterapie, Klinický psycholog, Adiktolog, sexuologie, dětská a dorostová psychiatrie, psychiatrie",ambulantní péče,,"Iveta Koblic, Karel Koblic, Petra Vrzáčková, Radkin Honzák, Simona Smetanová",49.97382622,14.39543712
244751,175550,6.67503E+12,"Centrum zdravotních a sociálních služeb Březiněves, příspěvková organizace",Samostatná ordinace lékaře specialisty,Praha 8,18200,Na hlavní,14/41,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,info@cssbrezineves.cz,,6675034,2,,CZ010,CZ0100,Praha 8,18200,Na hlavní,14/41,pediatrie,ambulantní péče,,Nataliia Iakymenko,50.16626227,14.4831921
244756,175548,3.67742E+12,Poliklinika Zbraslav s.r.o.,Samostatná ordinace lékaře specialisty,Praha 5,15600,K interně,639,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,rhbbarrandov@centrum.cz,http://www.keltiamed.cz,3677419,2,112,CZ010,CZ0100,Praha 4,14200,Sládkovičova,1265/12,radiologie a zobrazovací metody,ambulantní péče,,Jitka Nová,49.97072562,14.39210531
244727,175536,1.93921E+13,Psychiatr JH s.r.o.,Samostatná ordinace lékaře specialisty,Praha 8,18000,Chlumčanského,497/5,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,psychiatr.jh@gmail.com,,19392133,2,112,CZ010,CZ0100,Praha 2,12000,Bělehradská,858/23,psychiatrie,ambulantní péče,,Jan Hanka,50.11464463,14.46760754
244713,175521,9.54458E+12,Anesthesia s.r.o.,Samostatná ordinace lékaře specialisty,Praha 9,19300,Náchodská,762/65,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,milan.hrobsky@gmail.com,,9544577,2,112,CZ010,CZ0100,Praha 5,15200,Chlupáčova,1176/10,anesteziologie a intenzivní medicína,ambulantní péče,,Milan Hrobský,50.1136028,14.60147943
244690,175507,8.40175E+12,Ne hladu s.r.o.,Samostatné zařízení nelékaře - jiné,Praha 4,14000,Antala Staška,1670/80,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,nehladu@gmail.com,,8401748,2,112,CZ010,CZ0100,Praha 6,16900,Hošťálkova,1168/111,Nutriční terapeut,ambulantní péče,,Andrea Jakešová,50.04252514,14.45107296
244687,175503,1.97675E+13,Mgr. Nikola Chmelařová,Samostatné zařízení logopeda,Praha 4,14000,Křesomyslova,599/8,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,,,19767544,1,,CZ010,CZ0100,Praha 4,14000,Křesomyslova,599/8,Klinický logoped,ambulantní péče,,,50.06475371,14.43851834
244686,175501,1.91813E+13,MysticTrade s.r.o.,Samostatné zařízení fyzioterapeuta,Praha 5,15500,Ke zdravotnímu středisku,447/9,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,,,19181337,2,112,CZ010,CZ0100,Praha 2,12000,Varšavská,715/36,Fyzioterapeut,ambulantní péče,,Jitka Petrůjová,50.03378308,14.3149822
122292,175480,4.96878E+13,"JMT HEALTH, s.r.o.","Poskytovatel amb. služeb (do 5 oborů), Samost. ordinace všeob. prakt. lékaře",Praha 4,14000,Táborská,321/59,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,Praha 4,,,,http://www.nuselskapoliklinika.cz,49687841,2,112,CZ010,CZ0100,Praha 14,19800,Podedvorská,831,"všeobecné praktické lékařství, vnitřní lékařství, endokrinologie a diabetologie",ambulantní péče,,Šárka Wernerová,50.06298686,14.44140891
244659,175479,1.08144E+12,MUDr. Jan Hrubý Ph.D.,Samostatná ordinace lékaře specialisty,Praha 2,12800,Slavojova,445/2,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,,,1081438,1,,CZ010,CZ0100,Praha 2,12800,Slavojova,445/2,cévní chirurgie,ambulantní péče,,,50.06429585,14.42411783
119786,175478,4.52771E+13,Pragomedika s.r.o.,Zařízení LPS,Praha 4,14000,Vídeňská,800,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,Praha 4,4.20273E+11,,info@pragomedika.cz,http://www.pragomedika.cz/,45277087,2,112,CZ010,CZ0100,Praha 12,14200,Ke kašně,100/4,"všeobecné praktické lékařství, zubní lékařství, praktické lékařství pro děti a dorost",ambulantní péče,,"Ladislav Červinka, Tomáš Tesař",50.02977639,14.45782298
244652,175469,1.95461E+13,CENTRUM SAREMA s.r.o.,Samostatné zařízení fyzioterapeuta,Praha 5,15600,U Včely,176,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,"roman.hruza@rha.cz,lorenc@sarema.cz",,19546050,2,112,CZ010,CZ0100,Praha 10,10000,Pod altánem,132/97,Fyzioterapeut,ambulantní péče,,Irena Liscová,49.96950666,14.38775094
244651,175468,5.79758E+12,Eliška Vrátná,Samostatné zařízení fyzioterapeuta,Praha 4,14000,Jeremenkova,1835/106,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,vratnae@gmail.com,,5797578,1,,CZ010,CZ0100,Praha 4,14000,Jeremenkova,1835/106,Fyzioterapeut,ambulantní péče,,,50.04410317,14.43493625
244634,175462,6.31841E+12,Garik & son s.r.o.,Samostatná ordinace PL - stomatologa,Praha 5,15000,Kobrova,3354/5,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,,,6318410,2,112,CZ010,CZ0100,Praha 6,16200,Pod bateriemi,82/7,zubní lékařství,ambulantní péče,,Denis Jakub,50.07424811,14.39756488
244621,175451,1.97306E+13,MUDr. Radka Lainková,Samostatná ordinace lékaře specialisty,Praha 1,11000,Spálená,76/14,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,,,19730608,1,,CZ010,CZ0100,Praha 1,11000,Spálená,76/14,cévní chirurgie,ambulantní péče,,,50.08058556,14.41992715
244627,175450,7.22367E+12,zubní chirurgie Skalický s.r.o.,Samostatná ordinace PL - stomatologa,Praha 8,18100,Mazurská,484/2,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,,https://www.zubnichirurgie.cz,7223668,2,112,CZ010,CZ0100,Praha 8,18600,Sokolovská,130/52,zubní lékařství,ambulantní péče,,Jiří Skalický,50.126793,14.4155825
244619,175449,5.38662E+12,AROPRO společnost pro anestezii s.r.o.,Samostatná ordinace lékaře specialisty,Praha 10,10100,Oblouková,1335/3,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20467E+11,,office@aropro.cz,www.aropro.cz,5386616,2,112,CZ010,CZ0100,Praha 3,16000,Zikova,706/9,anesteziologie a intenzivní medicína,ambulantní péče,,Martin Voldřich,50.06533279,14.45667971
244607,175442,6.6001E+13,MUDr. Miroslav Krejča Ph.D.,Samostatná ordinace lékaře specialisty,Praha 2,12000,Londýnská,160/39,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,,,66000963,1,,CZ010,CZ0100,Praha 1,11000,Washingtonova,1599/17,"plastická chirurgie, plastická chirurgie","ambulantní péče, jednodenní péče",,,50.07330207,14.43412954
244614,175440,4.38747E+13,AMBULANCE MEDITRANS s.r.o.,Přeprava pacientů neodkladné péče,Praha 2,12000,Ke Karlovu,455/2,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20244E+11,4.20244E+11,,http://www.ambulance-meditrans.cz,43874681,2,112,CZ010,CZ0100,Praha 12,14700,Modřanská,307/98,Všeobecná sestra,,přeprava pacientů neodkladné péče,MUDr. Jiří Klimeš,50.06983426,14.42861676
244600,175434,2.55432E+13,"ONREST, s.r.o.",Samostatná ordinace PL - stomatologa,Praha 4,14900,Hviezdoslavova,1600/6,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,iveleba@veleba-milichovsky.cz,,25543199,2,112,CZ064,CZ0642,Brno,60200,Koliště,259/55,zubní lékařství,primární ambulantní péče,,"Jakub Dumler, Lenka Dumbrovská",50.03203557,14.51931299
244597,175431,3.72006E+12,Alergimed ambulance s.r.o.,Samostatná ordinace lékaře specialisty,Praha 4,14000,Pujmanové,1753/10a,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20235E+11,,evakov@centrum.cz,https://www.alergologie-mudrkovandova.cz/,3720055,2,112,CZ010,CZ0100,Praha 6,16000,Bechyňova,2571/3,alergologie a klinická imunologie,ambulantní péče,,Darina Šedivá,50.04990127,14.43526998
244598,175430,3.72006E+12,Alergimed ambulance s.r.o.,Samostatná ordinace lékaře specialisty,Praha 5,15000,Štefánikova,203/23,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20235E+11,,evakov@centrum.cz,https://www.alergologie-mudrkovandova.cz/,3720055,2,112,CZ010,CZ0100,Praha 6,16000,Bechyňova,2571/3,alergologie a klinická imunologie,ambulantní péče,,Darina Šedivá,50.0742944,14.40356957
243232,175428,1.44491E+13,Centrum diagnostické endoskopie s.r.o.,Poskytovatel amb. služeb (do 5 oborů),Praha 9,19000,Sokolovská,810/304,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,machacek@dentalnikliniky.cz,,14449072,2,112,CZ010,CZ0100,Praha 6,16000,Tychonova,44/3,"paliativní medicína, pneumologie a ftizeologie, klinická onkologie, gastroenterologie","ambulantní péče, specializovaná ambulantní péče",,"Filip Neumann, Jiří Votruba, Michaela Goldmann",50.10827738,14.49452927
244592,175425,1.97323E+13,OLGA LUKEŠOVÁ,Samostatné zařízení nelékaře - jiné,Praha 5,15000,U Okrouhlíku,3305/9,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,,,19732295,1,,CZ010,CZ0100,Praha 5,15000,U Okrouhlíku,3305/9,Ergoterapeut,ambulantní péče,,,50.0740553,14.38309086
244582,175420,2.59037E+13,"Dopravní zdravotnictví a.s., Odběrová místnost",Odběrová místnost,Praha 4,14000,Krčská,1079/59,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20221E+11,,zuzana.kovarova@pol.agel.cz,http://www.poliklinika.agel.cz,25903659,2,121,CZ010,CZ0100,Praha 2,12000,Italská,560/37,klinická biochemie,ambulantní péče,,"Kristýna Heřmánková, Lucie Bílková, Marta Schimonová, PhDr., Ing. Jiří Pavlát, Vojtěch Machýček",50.04228831,14.44162797
244588,175419,2.47537E+13,Optiscont s.r.o.,Oční optika,Praha 5,15000,Nádražní,3385/9a,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20226E+11,,litomerice@optiscont.cz,http://www.optiscont.cz,24753700,2,112,CZ010,CZ0100,Praha 6,16000,Papírenská,114/5,Optometrista,ambulantní péče,,Daniel Szarvas,50.0678879,14.40657543
244591,175418,4.81199E+13,MUDr. Eva Machalková a spol. v.o.s.,Samostatná ordinace lékaře specialisty,Praha 6,16000,Vítězné náměstí,829/10,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,,www.machalkova.eu,48119865,2,111,CZ010,CZ0100,Praha 13,15500,Píškova,1949/18,oftalmologie,ambulantní péče,,"Aneta Cvachová, MUDr. Eva Machalková",50.10099191,14.39684356
244589,175416,6.38866E+12,Klinická logopedie Mgr. Šárka Bocianová s.r.o.,Samostatné zařízení logopeda,Praha 4,14000,Antala Staška,1670/80,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,sarka@bocianova.cz,,6388655,2,112,CZ064,CZ0642,Brno,60300,Hlinky,162/92,Klinický logoped,ambulantní péče,,Šárka Doleželová Bocianová,50.04252514,14.45107296
244585,175415,6.07237E+13,Klinika Jaro s.r.o.,Samostatné zařízení psychologa,Praha 5,15300,Vrážská,1418,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,hana.nitya@gmail.com,,60723653,2,112,CZ020,CZ0202,Mořinka,26718,,57,Klinický psycholog,ambulantní péče,,Hana Jarolímková,49.98914823,14.36938881
244587,175414,1.75475E+13,ARBYTE s.r.o.,Samostatná ordinace lékaře specialisty,Praha 6,16000,České družiny,1948/17,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,zdenek.rehor@gmail.com,,17547504,2,112,CZ010,CZ0100,Praha 10,10000,Gutova,2403/42,ortodoncie,ambulantní péče,,Zdeněk Řehoř,50.09813152,14.37925977
244576,175399,1.91027E+13,DOTDENT s.r.o.,Samostatná ordinace PL - stomatologa,Praha 5,15000,Ostrovského,253/3,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,ondra.trnka@outlook.com,,19102666,2,112,CZ010,CZ0100,Praha 5,15000,Ostrovského,253/3,zubní lékařství,ambulantní péče,,Dominika Táborská,50.06864532,14.40277442
244511,175387,4.68496E+12,"MUDr., MUDr. Jozef Petrus",Samostatná ordinace lékaře specialisty,Praha,,Šiklové,3385/4,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,petrusjozef@gmail.com,https://www.kardioradotin.cz/,4684958,1,,CZ010,CZ0100,Praha 5,15300,Vrážská,100/12,kardiologie,ambulantní péče,,,,
244364,175386,3.88859E+12,"Česká laboratorní s.r.o., odběrová místnost",Odběrová místnost,Praha,,Šiklové,3385/4,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20272E+11,,pokorna@ceslab.cz,https://www.ceskalaboratorni.cz/,3888592,2,112,CZ010,CZ0100,Praha 3,13000,Pod Krejcárkem,975/2,laboratorní a vyšetřovací metody ve zdravotnictví,ambulantní péče,,Olga Pokorná,,
244560,175382,2.85749E+13,"SPADIA LAB, a.s., lékařská genetika",Samostatná ordinace lékaře specialisty,Praha 1,11000,Na příkopě,859/22,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,barbora.bogaczova@spadia.cz,https://www.spadia.cz,28574907,2,121,CZ080,CZ0804,Nový Jičín,74101,Máchova,619/30,lékařská genetika,ambulantní péče,,"Kateřina Kyselová, Zuzana Semeráková",50.08641017,14.42732469
192759,175381,2.85749E+13,"SPADIA LAB, a.s., Centrum lékařské genetiky",Samostatná ordinace lékaře specialisty,Praha 3,13000,Jičínská,2349/8,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,Praha 3,,,barbora.bogaczova@spadia.cz,https://www.spadia.cz,28574907,2,121,CZ080,CZ0804,Nový Jičín,74101,Máchova,619/30,"laboratorní a vyšetřovací metody ve zdravotnictví, lékařská genetika",ambulantní péče,,"Kateřina Kyselová, Zuzana Semeráková",50.07744358,14.46120366
244550,175377,1.96352E+13,Serhii Shaidaiuk,Samostatná ordinace lékaře specialisty,Praha 4,14900,Hviezdoslavova,509/25,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,serhii.shaidaiuk@gmail.com,,19635168,1,,CZ010,CZ0100,Praha 4,14900,Hviezdoslavova,509/25,anesteziologie a intenzivní medicína,ambulantní péče,,,50.03406991,14.52754692
244548,175374,1.9476E+13,FYZIO MEDICO CLINIC s.r.o.,Samostatné zařízení fyzioterapeuta,Praha 4,14000,Marie Cibulkové,1625/15,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,michal.hu@fyziomedico.cz,,19475969,2,112,CZ010,CZ0100,Praha 4,14000,Štětkova,1625/1,Fyzioterapeut,ambulantní péče,,Lenka Pařízková,50.05929751,14.42830521
244544,175373,7.50887E+13,MUDr. Andrea Musilová,Samostatná ordinace lékaře specialisty,Praha 2,12000,Italská,2584/69,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20258E+11,,and.mus@centrum.cz,,75088738,1,,CZ010,CZ0100,Praha 1,11000,Králodvorská,663/13,plastická chirurgie,ambulantní péče,,,50.08468618,14.44032398
244543,175372,7.50887E+13,MUDr. Andrea Musilová,Samostatná ordinace lékaře specialisty,Praha 5,15800,K sopce,839/30,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20258E+11,,and.mus@centrum.cz,,75088738,1,,CZ010,CZ0100,Praha 1,11000,Králodvorská,663/13,plastická chirurgie,jednodenní péče,,,50.04525028,14.34425415
244549,175371,7.62118E+12,Pain Free Care s.r.o.,Samostatná ordinace lékaře specialisty,Praha 6,16000,České družiny,1948/17,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,kolouch@pfcc.cz,,7621183,2,112,CZ010,CZ0100,Praha 8,18200,Šiškova,1230/13,anesteziologie a intenzivní medicína,ambulantní péče,,Marek Brožek,50.09813152,14.37925977
222532,175365,4.75675E+12,"DROP IN, s.r.o., Centrum metadonové substituce",Zařízení pro léčbu závislostí,Praha 8,18000,Budínova,67/2,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20602E+11,,vesely@dropin.cz,,4756746,2,112,CZ010,CZ0100,Praha 5,15400,Meskářova,284/7,"návykové nemoci, psychiatrie",ambulantní péče,,"Jiří Presl, Lenka Škvorová, Zdeněk Veselý",50.11538512,14.46408014
240560,175364,4.75675E+12,"DROP IN, s.r.o., Centrum metadonové substituce",Zařízení pro léčbu závislostí,Praha 5,15000,Radlická,1170/61,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20602E+11,,vesely@dropin.cz,,4756746,2,112,CZ010,CZ0100,Praha 5,15400,Meskářova,284/7,"Adiktolog, návykové nemoci, psychiatrie",ambulantní péče,,"Jiří Presl, Lenka Škvorová, Zdeněk Veselý",50.06083954,14.39867606
208268,175363,4.75675E+12,"DROP IN, s.r.o., Adiktologické centrum Prahy 12",Zařízení pro léčbu závislostí,Praha 12,14300,Těšíkova,986/4,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,Praha 12,4.20602E+11,,vesely@dropin.cz,,4756746,2,112,CZ010,CZ0100,Praha 5,15400,Meskářova,284/7,"Adiktolog, návykové nemoci, psychiatrie",ambulantní péče,,"Jiří Presl, Lenka Škvorová, Zdeněk Veselý",50.01504415,14.42829078
